groups;taxon;body_size;growth_form;trophic_type;modularity;mobility;reproductive_mode;carbonate accretion
agaricia.fragilis;agaricia.fragilis;M;E;AC;M;S;AS;C
agaricia.humilis;agaricia.humilis;M;E;AC;M;S;AS;C
agaricia.sp;agaricia;M;E;AC;M;S;AS;C
anemona;anemona;S;M;C;S;M;AS;N
arborescent.sponge;arborescent.sponge;S;B;S;S;S;AS;N
ascidea.colonial;ascidea.colonial;M;E;S;M;S;AS;N
astrangia.phyllangia;astrangia.phyllangia;M;E;AC;M;S;AS;C
botrylloides.nigrum;botrylloides.nigrum;S;E;S;M;S;AS;N
bryopsis.pennata;bryopsis.pennata;L;B;A;M;S;AS;N
carijoa.riisei;carijoa.riisei;L;B;C;M;S;AS;N
caulerpa.racemosa;caulerpa.racemosa;L;B;A;M;S;AS;N
caulerpa.sp;caulerpa;L;B;A;M;S;AS;N
caulerpa.verticillata;caulerpa.verticillata;L;B;A;M;S;AS;N
crostose.coralline.algae;crostose.coralline.algae;XL;E;A;M;S;AS;C
chaetomorpha.sp;chaetomorpha;S;F;A;M;S;AS;N
champia.parvula;champia.parvula;S;B;A;M;S;AS;N
cianobacterias;cianobacterias;XL;EF;A;M;S;AS;N
cirripedia;cirripedia;S;E;S;S;S;S;C
codium.intertextum;codium.intertextum;XL;E;A;M;S;AS;N
codium.spp;codium;S;B;A;M;S;AS;N
colpomenia.sinuosa;colpomenia.sinuosa;S;M;A;M;S;AS;N
crinoide;crinoide;M;B;S;S;M;S;N
dictyopteris;dictyopteris;M;B;A;M;S;AS;N
dictyopteris.plagiogramma;dictyopteris.plagiogramma;S;B;A;M;S;AS;N
dictyota.sp;dictyota;M;B;A;M;S;AS;N
didemnum;didemnum;S;E;S;M;S;AS;N
didemnum.perlucidum;didemnum.perlucidum;S;E;S;M;S;AS;N
digenia.sp.;digenia;XL;B;A;M;S;AS;N
estrela;estrela;S;M;C;S;M;S;C
favia.gravida;favia.gravida;S;E;AC;M;S;AS;C
galaxaura.sp;galaxaura;S;B;A;M;S;AS;C
gelidiella.acerosa;gelidiella.acerosa;XL;B;A;M;S;AS;N
gelidiopsis;gelidiopsis;L;B;A;M;S;AS;N
gelidium.floridanum;gelidium.floridanum;L;B;A;M;S;AS;N
globular.sponge;globular.sponge;M;M;S;S;S;AS;N
halimeda;halimeda;XL;B;A;M;S;AS;C
heterogorgia;heterogorgia;S;B;C;M;S;AS;N
hypnea.musciformis;hypnea.musciformis;XL;B;A;M;S;AS;N
idiellana.pristis;idiellana.pristis;S;B;C;M;S;AS;N
incrusting.sponge;incrusting.sponge;M;E;S;S;S;AS;N
jania.amphiroa;jania.amphiroa;L;B;A;M;S;AS;C
laurencia.sp;laurencia;L;B;A;M;S;AS;N
leptogorgia.sp;leptogorgia;S;B;C;M;S;AS;N
lobophora.variegata;lobophora.variegata;XL;B;A;M;S;AS;N
macrorhynchia.philippina;macrorhynchia.philippina;S;B;A;M;S;AS;N
madracis.decactis;madracis.decactis;L;B;C;M;S;AS;C
massive.sponge;massive.sponge;M;M;S;S;S;AS;N
meandrina.brasiliensis;meandrina.brasiliensis;M;M;AC;M;S;AS;C
millepora.alcicornis;millepora.alcicornis;L;B;AC;M;S;AS;C
millepora.incrusting;millepora.incrusting;L;E;AC;M;S;AS;C
millepora.nitida;millepora.nitida;M;M;AC;M;S;AS;C
millepora.sp;millepora;L;E;AC;M;S;AS;C
montastraea.cavernosa;montastraea.cavernosa;L;M;AC;M;S;AS;C
muricea.flamma;muricea.flamma;S;B;C;M;S;AS;N
muriceopsis.sulphurea;muriceopsis.sulphurea;S;B;AC;M;S;AS;N
mussismilia.braziliensis;mussismilia.braziliensis;L;M;AC;M;S;AS;C
mussismilia.harttii;mussismilia.harttii;L;B;AC;M;S;AS;C
mussismilia.hispida;mussismilia.hispida;M;M;AC;M;S;AS;C
mussismilia.leptophylla;mussismilia.leptophylla;L;M;AC;M;S;AS;C
mussismilia.spp;mussismilia;L;E;AC;M;S;AS;C
octhodes.secundiramea;octhodes.secundiramea;S;B;A;M;S;AS;N
octocoral.another;octocoral.another;S;B;C;M;S;AS;N
ophiothela.mirabilis;ophiothela.mirabilis;S;E;C;S;M;S;C
ourico1;ourico1;M;B;G;S;M;S;C
ourico2;ourico2;M;B;G;S;M;S;C
outra.ascidia;outra.ascidia;S;M;AC;M;S;AS;N
calcareous.articulate.algae;calcareous.articulate.algae;L;B;A;M;S;AS;C
leathery.algae;leathery.algae;L;B;A;M;S;AS;N
corticated.algae;corticated.algae;XL;B;A;M;S;AS;N
green.filamentous.algae;green.filamentous.algae;XL;F;A;M;S;AS;N
foliaceous.algae;foliaceous.algae;S;B;A;M;S;AS;N
outro.anthozoa;outro.anthozoa;L;M;AC;M;S;AS;C
outro.crustaceo;outro.crustaceo;S;M;C;S;M;S;C
outro.echinoderma;outro.echinoderma;M;M;C;S;M;S;C
outro.hydrozoa;outro.hydrozoa;S;B;C;M;S;AS;N
padina.sp;padina;L;B;A;M;S;AS;N
palythoa.caribaeorum;palythoa.caribaeorum;XL;E;AC;M;S;AS;N
palythoa.variabilis;palythoa.variabilis;L;E;AC;M;S;AS;N
papilate.sponge;papilate.sponge;M;E;S;S;S;AS;N
parazoanthus.cf.axinellae;parazoanthus.cf.axinellae;L;E;AC;M;S;AS;N
peyssonelia;peyssonelia;XL;B;A;M;S;AS;N
phallusia.nigra;phallusia.nigra;S;M;S;S;S;AS;N
phyllogorgia.dilatata;phyllogorgia.dilatata;S;B;AC;M;S;AS;N
plexaurella.grandiflora;plexaurella.grandiflora;S;B;AC;M;S;AS;N
plexaurella.regia;plexaurella.regia;S;B;AC;M;S;AS;N
poliqueta;poliqueta;S;B;S;S;S;AS;C
porites.astreoides;porites.astreoides;M;M;AC;M;S;AS;C
porites.branneri;porites.branneri;M;E;AC;M;S;AS;C
porites.sp;porites;M;E;AC;M;S;AS;C
protopalythoa;protopalythoa;L;E;AC;M;S;AS;N
sargassum.sp;sargassum;S;B;A;M;S;AS;N
schizoporella.sp;schizoporella;M;E;C;M;S;AS;C
siderastrea.spp;siderastrea;L;M;AC;M;S;AS;C
stypopodium;stypopodium;S;B;A;M;S;AS;N
tricleocarpa.cylindrica;tricleocarpa.cylindrica;S;B;A;M;S;AS;C
trididemnum;trididemnum;S;E;S;M;S;AS;N
tubular.sponge;tubular.sponge;S;B;S;S;S;AS;N
calcareous.turf;calcareous.turf;XL;EF;A;M;S;AS;N
udotea;udotea;S;B;A;M;S;AS;C
ulvophyceae;ulvophyceae;XL;F;A;M;S;AS;N
ventricaria.ventricosa;ventricaria.ventricosa;S;M;A;M;S;AS;N
wrangelia;wrangelia;L;B;A;M;S;AS;N
zoanthus.sociatus;zoanthus.sociatus;XL;E;AC;M;S;AS;N
